""	"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"ABCA1"	-1.30404535427921	-0.742460491558642	0.561584862720568	6	0	0	0	Inf
"ABCD2"	0.194834908110451	-0.364074714674753	-0.558909622785204	6	0	0	0	Inf
"AXDND1"	0.531723710554471	0.702467327164736	0.170743616610264	5	0	0	0	Inf
"C1QTNF3"	0.881826238213157	0.27135003427655	-0.610476203936608	6	0	0	0	Inf
"EGFLAM"	-4.62377069945856	-4.30052316500615	0.323247534452409	6	0	0	0	Inf
"FAM71F1"	-0.834185210521324	-0.393934842462772	0.440250368058551	6	0	0	0	Inf
"FBXW4"	0.844219785284444	1.48735970213706	0.643139916852618	5	0	0	0	Inf
"GGT6"	1.19568978849563	0.874147756040445	-0.321542032455185	6	0	0	0	Inf
"GPI"	1.03579267837603	0.597252911895549	-0.438539766480482	6	0	0	0	Inf
"IGF2R"	-0.584501201401469	0.243317680018808	0.827818881420277	6	0	0	0	Inf
"IGFBP6"	0.355617165283591	-0.48695780038047	-0.842574965664061	6	0	0	0	Inf
"KCTD15"	1.22167871054568	0.71166283188444	-0.510015878661242	6	0	0	0	Inf
"KIAA1033"	-1.47534254671046	-0.889084057013044	0.586258489697415	6	0	0	0	Inf
"KLHL11"	1.30139239300858	0.740238112498963	-0.561154280509615	6	0	0	0	Inf
"LPAR1"	0.465674750236108	-0.273821600035242	-0.73949635027135	6	0	0	0	Inf
"MAST3"	-0.157682693156244	-0.296800043987648	-0.139117350831404	6	0	0	0	Inf
"MSH6"	0.196297995507111	1.12421209065096	0.927914095143846	6	0	0	0	Inf
"NFKBIB"	1.14039152822905	0.491881030522223	-0.648510497706826	6	0	0	0	Inf
"NPR1"	-3.43316907888253	-2.60459414782114	0.828574931061386	6	0	0	0	Inf
"RDH8"	0.949578619099816	0.13974711156571	-0.809831507534106	6	0	0	0	Inf
"RUFY1"	-0.552250036401539	0.140453017856121	0.69270305425766	6	0	0	0	Inf
"SEC24A"	0.144451371777601	0.22386415490264	0.0794127831250383	6	0	0	0	Inf
"SFMBT2"	-0.213269000309624	-0.149672657933254	0.06359634237637	6	0	0	0	Inf
"SHD"	-0.668918992783461	-0.394405971952759	0.274513020830703	6	0	0	0	Inf
"SLC24A6"	0.145098718171967	-0.349453409513813	-0.49455212768578	6	0	0	0	Inf
"SPIB"	-0.0746043390895515	0.123229584545693	0.197833923635244	6	0	0	0	Inf
"SYCN"	0.66877577180914	-0.124056918643743	-0.792832690452883	6	0	0	0	Inf
"VAV2"	0.969202766899474	1.55893029967761	0.589727532778132	6	0	0	0	Inf
"ZCCHC8"	1.09989718006584	0.779113081765907	-0.320784098299933	6	0	0	0	Inf
"SIL1"	0.229058377852187	-11.6821168060012	-11.9111751838534	6	6.294744866775e-28	3.69331753018473e-27	3.69331753018473e-27	1.58862673732531e+27
"AP3B1"	-0.795936317557252	-61.4640022310927	-60.6680659135355	5	2.07431252698349e-17	1.21706200666317e-16	1.21706200666317e-16	48208743233799128
"NPPA"	0.244757508164642	26.93430752413	26.6895500159654	5	4.75814060629593e-16	2.79174525485096e-15	2.79174525485096e-15	2101661305840369
"DECR1"	-0.0402168255568676	-14.4902013210721	-14.4499844955152	6	9.9140304612832e-16	5.81686204483167e-15	5.81686204483167e-15	1008671502377618
"FMNL2"	0.47250784339578	10.1823954155521	9.70988757215632	6	1.78896578739202e-14	1.04964042916964e-13	1.04964042916964e-13	55898218235788.3
"ZNF672"	-0.372041053735218	8.571735376437	8.94377643017222	6	2.09834513389134e-14	1.23116266527072e-13	1.23116266527072e-13	47656602522078.8
"EPM2A"	-0.0642958217853409	-33.0395415816257	-32.9752457598403	6	3.18089138695053e-14	1.86632535069767e-13	1.86632535069767e-13	31437728559435.4
"GJA4"	-0.23702953551397	-10.2835506219208	-10.0465210864069	4	9.40603650705663e-13	5.51880660076838e-12	5.51880660076838e-12	1063147053755.15
"DBNDD1"	0.75533878977523	11.1830467412278	10.4277079514526	6	1.43243279637199e-12	8.40451721171311e-12	8.40451721171311e-12	698113030175.885
"TEX15"	0.613285154455487	-12.1336008530098	-12.7468860074653	5	1.52339628907723e-12	8.93822758333356e-12	8.93822758333356e-12	656428013622.254
"GOLGA7B"	0.460849783915515	15.2031524202631	14.7423026363476	6	3.38323850141981e-12	1.98504853339445e-11	1.98504853339445e-11	295574787168.258
"FAM134C"	-0.889327256603692	-4.54328886778616	-3.65396161118247	6	3.14058609922205e-11	1.84267701694491e-10	1.84267701694491e-10	31841190413.99
"MAPK4"	-0.751974732778611	0.363705063666884	1.11567979644549	6	3.40114145347434e-11	1.99555273748703e-10	1.99555273748703e-10	29401893853.7374
"MLIP"	-3.95901344334029	-0.0383752543987947	3.92063818894149	6	3.9227370324724e-11	2.30158866676856e-10	2.30158866676856e-10	25492404708.3141
"RASGEF1C"	-62.5470994009761	-51.7540701758973	10.7930292250788	6	6.31954512694927e-11	3.7078685930815e-10	3.7078685930815e-10	15823923713.6289
"IL36RN"	0.303361630647683	5.48549504721655	5.18213341656887	5	8.07955013470369e-11	4.74051685466655e-10	4.74051685466655e-10	12376926725.4615
"CSF2RB"	-3.68637195384516	23.888532105675	27.5749040595202	6	1.03491766494959e-10	6.0721754943645e-10	6.0721754943645e-10	9662604415.44611
"CTGF"	-40.3195121144924	-33.1663774910457	7.15313462344667	6	1.5012480069788e-10	8.80827689545247e-10	8.80827689545247e-10	6661124579.025
"WNT2B"	0.869265047190392	-10.4579318885602	-11.3271969357506	6	2.01809166901433e-10	1.18407552476193e-09	1.18407552476193e-09	4955176294.27908
"PEX5"	-40.6894641497374	-34.1852403959186	6.50422375381882	6	4.55144659504654e-10	2.67047161016357e-09	2.67047161016357e-09	2197103665.09228
"KIAA1456"	-60.469513115896	-49.7186936737143	10.7508194421817	6	5.25673851095779e-10	3.08428774403837e-09	3.08428774403837e-09	1902320226.48607
"TAL1"	1.25732127852596	4.21086044185731	2.95353916333135	6	5.43239558353225e-10	3.18735107000241e-09	3.18735107000241e-09	1840808505.34552
"GRM8"	0.264721523881369	-5.1445201931581	-5.40924171703946	5	9.06580983774718e-10	5.3191852823227e-09	5.3191852823227e-09	1103045416.7809
