""	"lethalityCelltype1"	"lethalityCelltype2"	"effectSize"	"nexons"	"p0"	"lfdr"	"postProb"	"BayesFactor"
"DZIP3"	1.35711091472748	0.842021649498152	-0.515089265229328	6	0	0	0	Inf
"EDC4"	-1.53604263520932	-0.828840330551869	0.707202304657454	6	0	0	0	Inf
"GBP6"	1.00479928131569	1.04351325428034	0.0387139729646493	5	0	0	0	Inf
"L3MBTL1"	0.958225337159748	0.694995290436083	-0.263230046723665	5	0	0	0	Inf
"MCCC2"	0.706813928908591	1.20968083041794	0.502866901509348	6	0	0	0	Inf
"NRN1L"	0.210396159444896	1.03537389202916	0.824977732584262	6	0	0	0	Inf
"PELP1"	1.27029194339476	0.83243967026695	-0.437852273127806	6	0	0	0	Inf
"SEMA7A"	-2.19614024810465	-1.77197494212149	0.424165305983161	6	0	0	0	Inf
"SHISA6"	0.547510008604453	0.978594457900849	0.431084449296396	6	0	0	0	Inf
"SNX30"	-1.68371451247851	-0.945521939862677	0.738192572615829	6	0	0	0	Inf
"TJP1"	0.346270615007471	1.25823434192072	0.911963726913249	6	0	0	0	Inf
"TUBD1"	0.0543025055866921	0.296062812523903	0.241760306937211	6	0	0	0	Inf
"USP30"	0.710602938328337	0.221007856861573	-0.489595081466764	6	0	0	0	Inf
"ZSWIM2"	-1.78697511700357	-1.64964473394939	0.13733038305418	6	0	0	0	Inf
"FMNL2"	1.1412321369324	13.9180459667333	12.7768138298009	6	3.78829396026157e-27	1.95313111334312e-26	1.95313111334312e-26	2.63971067316791e+26
"C1QA"	-0.948182250912022	-12.5611617127515	-11.6129794618395	6	1.33433152777663e-25	6.87941445345297e-25	6.87941445345297e-25	7.4943893566412e+24
"MAP7D3"	-3.64474342901168	-55.7762365436896	-52.1314931146779	6	1.25594376799975e-20	6.47527059837862e-20	6.47527059837862e-20	79621399100743663616
"TCF4"	-5.06752013514747	-79.363880228189	-74.2963600930415	5	1.3467117123526e-18	6.94324298402078e-18	6.94324298402078e-18	742549419320844288
"TRIM67"	-58.0902157965591	-48.6515167269698	9.43869906958934	6	1.70902003701061e-17	8.81119639243033e-17	8.81119639243033e-17	58513064700469040
"ACPL2"	-0.295818624835284	-5.57924785006497	-5.28342922522969	6	4.33383785248979e-17	2.23439723492247e-16	2.23439723492247e-16	23074236601295544
"TUBA8"	0.598454083207575	-16.8764231388334	-17.474877222041	4	5.11895223062434e-17	2.63917873697933e-16	2.63917873697933e-16	19535247741079880
"SLC26A11"	0.938132477143095	-36.1101581091985	-37.0482905863416	6	2.6940242388127e-16	1.38895835859641e-15	1.38895835859641e-15	3711919089639357
"AP3B1"	-0.774917930978179	-51.7546624116685	-50.9797444806903	5	3.81594696083185e-14	1.9673881737393e-13	1.9673881737393e-13	26205814972385.5
"PLP1"	-0.0680713858911941	-11.4471245407781	-11.3790531548869	6	6.09466082643403e-14	3.1422249197781e-13	3.1422249197781e-13	16407803952973
"TMCC1"	0.155890865646415	-25.0913512826654	-25.2472421483118	6	3.88633559750106e-13	2.00367845050649e-12	2.00367845050649e-12	2573117979421.59
"C10orf11"	0.775684669280518	18.0772943554476	17.3016096861671	6	3.89595310479619e-13	2.0086369497486e-12	2.0086369497486e-12	2566766008473.1
"IL20RB"	-42.6843917672536	-34.761448729134	7.92294303811956	6	4.1217545982996e-13	2.12505344937233e-12	2.12505344937233e-12	2426151232807.82
"ALOX15"	-68.5866609923563	-57.3541730100284	11.232487982328	5	4.99209919228066e-12	2.57377710267841e-11	2.57377710267841e-11	200316532480.228
"CENPE"	1.90828197039259	5.58188558824736	3.67360361785476	6	1.95554775476693e-11	1.00822196039123e-10	1.00822196039123e-10	51136567621.1587
"SNX13"	0.0299811714459724	-8.61233979323896	-8.64232096468494	4	2.02109443679709e-11	1.04201587009604e-10	1.04201587009604e-10	49478143216.5302
"MSL1"	1.59751704652117	-2.42626048841034	-4.02377753493151	6	5.89427676157457e-11	3.03891288575499e-10	3.03891288575499e-10	16965609868.5451
"DBNDD1"	1.31879568131532	10.0071548929719	8.68835921165654	6	7.21070382552906e-11	3.71762332444509e-10	3.71762332444509e-10	13868271726.6441
"RAPGEF3"	0.358165196155912	1.93175975941732	1.57359456326141	6	7.37934618919737e-11	3.80457028546864e-10	3.80457028546864e-10	13551336043.7014
"RSPH9"	-28.7183342312609	-23.0142742227695	5.70406000849145	6	8.60134035106155e-11	4.43459394290169e-10	4.43459394290169e-10	11626094993.3294
"MPPED1"	-0.569491555650243	12.5486106210403	13.1181021766906	6	4.13598920635427e-10	2.1323923840745e-09	2.1323923840745e-09	2417801279.67952
"DDC"	-2.67824649282526	19.9921394748367	22.670385967662	6	7.83798933493903e-10	4.04103296809633e-09	4.04103296809633e-09	1275837407.38017
"MYEF2"	-12.6614078913376	-5.01607613073343	7.64533176060417	6	8.13980798063403e-10	4.19664163779395e-09	4.19664163779395e-09	1228530208.04076
"WDR34"	0.0834457590009388	18.3782093255686	18.2947635665677	6	1.07966105453428e-09	5.56640960319998e-09	5.56640960319998e-09	926216607.258929
"RFTN1"	-6.34581482266094	-0.0657855162595151	6.28002930640143	6	1.08220716571591e-09	5.57953659116438e-09	5.57953659116438e-09	924037495.405295
"PKNOX1"	-0.224029472928582	-10.4946391472106	-10.270609674282	6	3.20032053394062e-09	1.64998957048934e-08	1.64998957048934e-08	312468699.992485
"NFATC2IP"	-5.53939070402428	-10.7782895577886	-5.23889885376434	6	4.30222081040153e-09	2.21809639356914e-08	2.21809639356914e-08	232438091.805996
"RNF150"	-3.24682081505693	20.2950711454745	23.5418919605314	6	4.66195825008485e-09	2.40356625606558e-08	2.40356625606558e-08	214502134.445293
"GRIN3A"	1.15720229096726	-3.00996595316431	-4.16716824413158	6	8.13402791238956e-09	4.19366147984376e-08	4.19366147984376e-08	122940319.683781
"TBX5"	1.21861919206063	-3.41955789263073	-4.63817708469136	6	1.23041692656714e-08	6.3436615109368e-08	6.3436615109368e-08	81273263.2414141
"CLEC19A"	0.790318772998982	-2.90398666564206	-3.69430543864104	6	1.44454160482561e-08	7.44762421588572e-08	7.44762421588572e-08	69226111.7446534
"PKN1"	0.246165805443843	-0.671664690868724	-0.917830496312567	6	1.47449572927617e-08	7.60205870791322e-08	7.60205870791322e-08	67819795.2967925
"CLEC4M"	1.52002332322716	-3.47333216400237	-4.99335548722953	6	1.73788085903875e-08	8.95999351564801e-08	8.95999351564801e-08	57541342.8038045
"FOXK1"	-0.158524374288937	4.16225935936941	4.32078373365835	6	1.81221410857167e-08	9.34323347147665e-08	9.34323347147665e-08	55181116.6874774
"TRIM8"	1.81767071764946	-0.38227395025203	-2.19994466790149	6	2.14177078953913e-08	1.10423289170648e-07	1.10423289170648e-07	46690336.0278564
"OLIG1"	-0.760581051797403	4.94696057792105	5.70754162971845	6	2.35898907202868e-08	1.21622412338376e-07	1.21622412338376e-07	42391038.9525514
"LYPD1"	-1.55766620886288	-1.2533685024852	0.304297706377674	6	2.51936964213486e-08	1.2989115339258e-07	1.2989115339258e-07	39692467.4363753
"FAM179B"	-0.266868512209993	14.942245052226	15.2091135644359	6	2.52682195891711e-08	1.302753724863e-07	1.302753724863e-07	39575403.05532
"ECT2L"	0.366700710288763	-6.18465259000708	-6.55135330029584	6	3.13711245883034e-08	1.61740118767841e-07	1.61740118767841e-07	31876446.3101754
"UTRN"	-4.95823241269211	-0.0910358619418705	4.86719655075024	6	3.32321535537366e-08	1.71335025175576e-07	1.71335025175576e-07	30091338.0515903
"COG8"	1.05411276398815	3.72818165077424	2.6740688867861	5	4.38401741654628e-08	2.26026790622114e-07	2.26026790622114e-07	22810127.3591112
"PAH"	1.47222392583517	-3.81246746915352	-5.28469139498869	6	6.15442018217589e-08	3.17303424553646e-07	3.17303424553646e-07	16248483.3478212
"PNPLA4"	0.477313203385401	-7.60726568182387	-8.08457888520927	5	6.77516026019901e-08	3.49306910053205e-07	3.49306910053205e-07	14759797.4637285
"ALB"	0.781721303202126	4.02683236658735	3.24511106338522	6	7.79600590745925e-08	4.01938627896621e-07	4.01938627896621e-07	12827080.0960161
"ESRRB"	-2.64749044849784	6.80799161118448	9.45548205968232	6	1.61487462447007e-07	8.32580520312536e-07	8.32580520312536e-07	6192430.19463936
"CPQ"	0.15271966359626	-0.0447153473111067	-0.197435010907366	6	1.69426498334222e-07	8.73511759652566e-07	8.73511759652566e-07	5902263.46176875
"DEPTOR"	0.555596271468465	1.33273027943215	0.777134007963684	6	1.7226244282746e-07	8.88133020881145e-07	8.88133020881145e-07	5805094.89662335
"ELK3"	-5.49899988279245	-5.25130714125693	0.247692741535518	6	3.2318432023927e-07	1.66623950004926e-06	1.66623950004926e-06	3094208.51876517
